index,title,url,text_length,tokens_processed,reward,processing_time_ms,timestamp,num_tokens
46,Eidangerfjord,https://en.wikipedia.org/?curid=4358723,724,213,0.3354,100.74138641357422,2025-11-15T13:34:56.649446,213
47,Naseer Shamma,https://en.wikipedia.org/?curid=1170241,2520,508,0.658,101.54008865356445,2025-11-15T13:34:56.751349,508
48,NASUWT,https://en.wikipedia.org/?curid=989091,8646,394,0.544,101.5462875366211,2025-11-15T13:34:56.853252,394
49,Saint Francis with the Blood of Christ,https://en.wikipedia.org/?curid=62080461,1462,367,0.517,101.25017166137695,2025-11-15T13:34:56.954826,367
50,Chris Houston (American football),https://en.wikipedia.org/?curid=9158668,2564,413,0.5630000000000001,101.48453712463379,2025-11-15T13:34:57.056608,413
51,Said bin Ahmad Al Busaidi,https://en.wikipedia.org/?curid=41128731,1647,396,0.546,101.28927230834961,2025-11-15T13:34:57.160925,396
52,Bradly van Hoeven,https://en.wikipedia.org/?curid=62558124,1206,298,0.448,101.04227066040039,2025-11-15T13:34:57.262276,298
53,Hyomin,https://en.wikipedia.org/?curid=31422226,19358,476,0.626,102.1277904510498,2025-11-15T13:34:57.364833,476
54,McLouth Steel,https://en.wikipedia.org/?curid=16412266,22523,462,0.6120000000000001,101.5019416809082,2025-11-15T13:34:57.466665,462
55,Planing (shaping),https://en.wikipedia.org/?curid=21075865,2995,439,0.5890000000000001,101.62496566772461,2025-11-15T13:34:57.568631,439
56,SMS Teluk Intan,https://en.wikipedia.org/?curid=26099053,1074,248,0.8079999999999999,100.98838806152344,2025-11-15T13:34:57.669901,248
57,Bragernes,https://en.wikipedia.org/?curid=4444387,1113,258,1.0,101.5620231628418,2025-11-15T13:34:57.771772,258
58,Russell Winter (rugby union),https://en.wikipedia.org/?curid=16726936,1143,236,1.0,101.52173042297363,2025-11-15T13:34:57.873635,236
59,Christian Jankowski,https://en.wikipedia.org/?curid=5193810,5113,470,1.0,102.32377052307129,2025-11-15T13:34:57.976338,470
60,"Edward Cotton (priest, died 1675)",https://en.wikipedia.org/?curid=64451638,351,91,1.0,101.06086730957031,2025-11-15T13:34:58.077747,91
61,Sanya Phoenix International Airport,https://en.wikipedia.org/?curid=9496021,1898,427,1.0,102.74863243103027,2025-11-15T13:34:58.181017,427
62,"Drumore, Pennsylvania",https://en.wikipedia.org/?curid=49518427,407,97,1.0,100.99482536315918,2025-11-15T13:34:58.282304,97
63,1954 Philadelphia Athletics season,https://en.wikipedia.org/?curid=12388618,1757,405,1.0,101.78351402282715,2025-11-15T13:34:58.384429,405
64,Dominion of Newfoundland,https://en.wikipedia.org/?curid=697561,15597,398,1.0,102.16879844665527,2025-11-15T13:34:58.486924,398
65,Celtic Folkweave,https://en.wikipedia.org/?curid=18313249,10371,497,1.0,102.15020179748535,2025-11-15T13:34:58.589450,497
66,Anatoly Demitkov,https://en.wikipedia.org/?curid=20293110,1992,469,1.0,101.85074806213379,2025-11-15T13:34:58.691705,469
67,Apple (name),https://en.wikipedia.org/?curid=38117537,2327,411,1.0,101.90558433532715,2025-11-15T13:34:58.793973,411
68,Member of the Scottish Parliament,https://en.wikipedia.org/?curid=263678,2746,419,1.0,101.90796852111816,2025-11-15T13:34:58.896166,419
69,Rıdvan Şimşek,https://en.wikipedia.org/?curid=23514616,974,278,1.0,104.42233085632324,2025-11-15T13:34:59.000906,278
70,Thryssa setirostris,https://en.wikipedia.org/?curid=73673380,202,60,1.0,101.02581977844238,2025-11-15T13:34:59.102349,60
71,Hedemora stadshotell,https://en.wikipedia.org/?curid=49505897,1549,375,1.0,101.67407989501953,2025-11-15T13:34:59.204337,375
72,Pollex laosi,https://en.wikipedia.org/?curid=29965230,294,91,1.0,100.77118873596191,2025-11-15T13:34:59.305416,91
