2025-11-15 13:46:49,016 [INFO] Article 41: 'Dennison School House...' - Reward: 0.500, Comprehension: 0.000, Tokens: 350, Time: 101.4ms
2025-11-15 13:46:49,117 [INFO] Article 42: 'Kalanjukittiya Thankam...' - Reward: 0.232, Comprehension: 0.000, Tokens: 136, Time: 100.6ms
2025-11-15 13:46:49,219 [INFO] Article 43: 'Yufkalı, Şemdinli...' - Reward: 0.255, Comprehension: 0.000, Tokens: 157, Time: 100.6ms
2025-11-15 13:46:49,320 [INFO] Article 44: 'L21...' - Reward: 0.246, Comprehension: 0.000, Tokens: 144, Time: 100.6ms
2025-11-15 13:46:49,421 [INFO] Article 45: 'Brocchinia tanimbarensis...' - Reward: 0.145, Comprehension: 0.000, Tokens: 69, Time: 100.5ms
2025-11-15 13:46:49,523 [INFO] Article 46: 'Adam Nevill...' - Reward: 0.681, Comprehension: 0.000, Tokens: 531, Time: 101.6ms
2025-11-15 13:46:49,624 [INFO] Article 47: 'Aioiyama Station...' - Reward: 0.246, Comprehension: 0.000, Tokens: 138, Time: 100.9ms
2025-11-15 13:46:49,727 [INFO] Article 48: 'Edgar Lissel...' - Reward: 0.577, Comprehension: 0.000, Tokens: 427, Time: 102.0ms
2025-11-15 13:46:49,829 [INFO] Article 49: 'Universal Bank...' - Reward: 0.179, Comprehension: 0.000, Tokens: 86, Time: 100.8ms
2025-11-15 13:46:49,931 [INFO] Article 50: 'Toother...' - Reward: 0.325, Comprehension: 0.000, Tokens: 197, Time: 101.1ms
2025-11-15 13:46:50,034 [INFO] Article 51: 'Russell Winter (rugby union)...' - Reward: 0.386, Comprehension: 0.000, Tokens: 236, Time: 101.4ms
2025-11-15 13:46:50,136 [INFO] Article 52: 'William H. O'Dell...' - Reward: 0.444, Comprehension: 0.000, Tokens: 294, Time: 101.4ms
2025-11-15 13:46:50,237 [INFO] Article 53: 'Bimokalner...' - Reward: 0.139, Comprehension: 0.000, Tokens: 63, Time: 100.5ms
2025-11-15 13:46:50,340 [INFO] Article 54: 'Dreadlocks...' - Reward: 0.658, Comprehension: 0.000, Tokens: 508, Time: 102.0ms
2025-11-15 13:46:50,442 [INFO] Article 55: 'West Side High School (New Jersey)...' - Reward: 0.566, Comprehension: 0.000, Tokens: 416, Time: 101.9ms
2025-11-15 13:46:50,545 [INFO] Article 56: 'Jamie Shea...' - Reward: 1.000, Comprehension: 0.000, Tokens: 359, Time: 102.2ms
2025-11-15 13:46:50,647 [INFO] Article 57: 'National records in the 400 metres hurdles...' - Reward: 1.000, Comprehension: 0.000, Tokens: 69, Time: 101.1ms
2025-11-15 13:46:50,751 [INFO] Article 58: 'Camille Martin...' - Reward: 1.000, Comprehension: 0.000, Tokens: 468, Time: 103.3ms
2025-11-15 13:46:50,854 [INFO] Article 59: '1953 Tennessee Volunteers football team...' - Reward: 1.000, Comprehension: 0.000, Tokens: 116, Time: 101.5ms
2025-11-15 13:46:50,957 [INFO] Article 60: 'Montegufoni Castle...' - Reward: 1.000, Comprehension: 0.000, Tokens: 503, Time: 102.9ms
2025-11-15 13:46:51,060 [INFO] Article 61: 'Roger Johnson...' - Reward: 1.000, Comprehension: 0.000, Tokens: 116, Time: 101.6ms
2025-11-15 13:46:51,162 [INFO] Article 62: 'Arthur Dinaux...' - Reward: 1.000, Comprehension: 0.000, Tokens: 172, Time: 101.6ms
2025-11-15 13:46:51,265 [INFO] Article 63: 'National Register of Historic Places listings in W...' - Reward: 1.000, Comprehension: 0.000, Tokens: 147, Time: 101.7ms
2025-11-15 13:46:51,368 [INFO] Article 64: 'Tess Girard...' - Reward: 1.000, Comprehension: 0.000, Tokens: 299, Time: 102.4ms
2025-11-15 13:46:51,470 [INFO] Article 65: 'Frequency domain decomposition...' - Reward: 1.000, Comprehension: 0.000, Tokens: 249, Time: 101.7ms
2025-11-15 13:46:51,574 [INFO] Article 66: '125th Street station (IRT Lexington Avenue Line)...' - Reward: 1.000, Comprehension: 0.000, Tokens: 432, Time: 102.9ms
2025-11-15 13:46:51,681 [INFO] Article 67: '11 West 54th Street...' - Reward: 1.000, Comprehension: 0.000, Tokens: 431, Time: 105.9ms
2025-11-15 13:46:51,784 [INFO] Article 68: 'Alavijeh...' - Reward: 1.000, Comprehension: 0.000, Tokens: 182, Time: 101.7ms
2025-11-15 13:46:51,886 [INFO] Article 69: 'Pine Ridge School Building...' - Reward: 1.000, Comprehension: 0.000, Tokens: 178, Time: 101.7ms
2025-11-15 13:46:51,988 [INFO] Article 70: 'United States Post Office (Freeport, New York)...' - Reward: 1.000, Comprehension: 0.000, Tokens: 167, Time: 101.5ms
2025-11-15 13:46:52,091 [INFO] Article 71: 'Greathed Manor...' - Reward: 1.000, Comprehension: 0.000, Tokens: 451, Time: 101.8ms
2025-11-15 13:46:52,193 [INFO] Article 72: 'Neddie Seagoon...' - Reward: 1.000, Comprehension: 0.000, Tokens: 534, Time: 102.0ms
2025-11-15 13:46:52,296 [INFO] Article 73: 'Paul Terasaki...' - Reward: 1.000, Comprehension: 0.000, Tokens: 442, Time: 101.9ms
2025-11-15 13:46:52,399 [INFO] Article 74: 'Anatoly Demitkov...' - Reward: 1.000, Comprehension: 0.000, Tokens: 469, Time: 102.0ms
2025-11-15 13:46:52,501 [INFO] Article 75: 'River Raid...' - Reward: 1.000, Comprehension: 0.000, Tokens: 458, Time: 101.8ms
2025-11-15 13:46:52,603 [INFO] Article 76: '2015 Chrono des Nations...' - Reward: 1.000, Comprehension: 0.000, Tokens: 54, Time: 100.7ms
2025-11-15 13:46:52,705 [INFO] Article 77: 'Roger Bhatnagar...' - Reward: 1.000, Comprehension: 0.000, Tokens: 456, Time: 102.0ms
2025-11-15 13:46:52,808 [INFO] Article 78: 'McLouth Steel...' - Reward: 1.000, Comprehension: 0.000, Tokens: 462, Time: 102.3ms
2025-11-15 13:46:52,911 [INFO] Article 79: 'Christian Jankowski...' - Reward: 1.000, Comprehension: 0.000, Tokens: 470, Time: 102.1ms
2025-11-15 13:46:53,013 [INFO] Article 80: 'Gianduja (commedia dell'arte)...' - Reward: 1.000, Comprehension: 0.000, Tokens: 335, Time: 101.6ms
2025-11-15 13:46:53,115 [INFO] Article 81: 'List of county routes in Westchester County, New Y...' - Reward: 1.000, Comprehension: 0.000, Tokens: 168, Time: 101.3ms
2025-11-15 13:46:53,218 [INFO] Article 82: 'George Tuchet, 1st Earl of Castlehaven...' - Reward: 1.000, Comprehension: 0.000, Tokens: 533, Time: 101.7ms
2025-11-15 13:46:53,320 [INFO] Article 83: 'Lechuza (album)...' - Reward: 1.000, Comprehension: 0.000, Tokens: 531, Time: 102.0ms
2025-11-15 13:46:53,423 [INFO] Article 84: 'Angel City FC...' - Reward: 1.000, Comprehension: 0.000, Tokens: 467, Time: 101.8ms
2025-11-15 13:46:53,525 [INFO] Article 85: '1992 Italian general election in Sardinia...' - Reward: 1.000, Comprehension: 0.000, Tokens: 65, Time: 101.0ms
2025-11-15 13:46:53,626 [INFO] Article 86: 'Golf Club Halt railway station (England)...' - Reward: 1.000, Comprehension: 0.000, Tokens: 69, Time: 100.9ms
2025-11-15 13:46:53,728 [INFO] Article 87: 'Education in Warsaw...' - Reward: 1.000, Comprehension: 0.000, Tokens: 442, Time: 101.8ms
2025-11-15 13:46:53,830 [INFO] Article 88: 'Hune Covered Bridge...' - Reward: 1.000, Comprehension: 0.000, Tokens: 201, Time: 101.0ms
